problem_type,S,K,T,r,C_market,sigma_low,sigma_high,tolerance,max_iterations
option_call,199.58,182.50,0.0027,0.045,18.55,0.01,2.0,1e-6,100
option_call,199.58,187.50,0.0027,0.045,13.70,0.01,2.0,1e-6,100
option_call,199.58,190.00,0.0027,0.045,11.38,0.01,2.0,1e-6,100
option_call,199.58,192.50,0.0027,0.045,9.15,0.01,2.0,1e-6,100
option_call,199.58,195.00,0.0027,0.045,7.08,0.01,2.0,1e-6,100
option_call,199.58,197.50,0.0027,0.045,5.25,0.01,2.0,1e-6,100
option_call,199.58,200.00,0.0027,0.045,3.68,0.01,2.0,1e-6,100
option_call,199.58,202.50,0.0027,0.045,2.39,0.01,2.0,1e-6,100
option_call,199.58,205.00,0.0027,0.045,1.45,0.01,2.0,1e-6,100
option_call,199.58,207.50,0.0027,0.045,0.83,0.01,2.0,1e-6,100
option_call,199.58,212.50,0.0027,0.045,0.26,0.01,2.0,1e-6,100
option_call,199.58,215.00,0.0027,0.045,0.15,0.01,2.0,1e-6,100
option_call,199.58,217.50,0.0027,0.045,0.09,0.01,2.0,1e-6,100
option_call,199.58,220.00,0.0027,0.045,0.06,0.01,2.0,1e-6,100
option_call,199.58,222.50,0.0027,0.045,0.04,0.01,2.0,1e-6,100
option_call,199.58,225.00,0.0027,0.045,0.04,0.01,2.0,1e-6,100
option_put,199.58,177.50,0.0027,0.045,0.09,0.01,2.0,1e-6,100
option_put,199.58,180.00,0.0027,0.045,0.12,0.01,2.0,1e-6,100
option_put,199.58,182.50,0.0027,0.045,0.16,0.01,2.0,1e-6,100
option_put,199.58,185.00,0.0027,0.045,0.22,0.01,2.0,1e-6,100
option_put,199.58,187.50,0.0027,0.045,0.33,0.01,2.0,1e-6,100
option_put,199.58,190.00,0.0027,0.045,0.51,0.01,2.0,1e-6,100
option_put,199.58,192.50,0.0027,0.045,0.79,0.01,2.0,1e-6,100
option_put,199.58,195.00,0.0027,0.045,1.23,0.01,2.0,1e-6,100
option_put,199.58,197.50,0.0027,0.045,1.89,0.01,2.0,1e-6,100
option_put,199.58,200.00,0.0027,0.045,2.81,0.01,2.0,1e-6,100
option_put,199.58,202.50,0.0027,0.045,4.03,0.01,2.0,1e-6,100
option_put,199.58,205.00,0.0027,0.045,5.60,0.01,2.0,1e-6,100
