problem_type,S,K,T,r,C_market,implied_volatility,iterations,converged,error,calculated_price,price_difference,time_ms
option_call,199.58,182.50,0.002700,0.045,18.55,1.528126,0,yes,8.03e-009,18.550000,0.000000,0.00
option_call,199.58,187.50,0.002700,0.045,13.70,1.212991,0,yes,9.40e-009,13.700000,0.000000,0.00
option_call,199.58,190.00,0.002700,0.045,11.38,1.070644,0,yes,1.27e-007,11.380000,0.000000,0.00
option_call,199.58,192.50,0.002700,0.045,9.15,0.935487,0,yes,1.77e-008,9.150000,0.000000,0.00
option_call,199.58,195.00,0.002700,0.045,7.08,0.815193,0,yes,8.13e-007,7.079999,0.000001,0.00
option_call,199.58,197.50,0.002700,0.045,5.25,0.720634,0,yes,5.28e-008,5.250000,0.000000,0.00
option_call,199.58,200.00,0.002700,0.045,3.68,0.662185,0,yes,1.61e-008,3.680000,0.000000,0.00
option_call,199.58,202.50,0.002700,0.045,2.39,0.647887,0,yes,3.93e-010,2.390000,0.000000,0.00
option_call,199.58,205.00,0.002700,0.045,1.45,0.668629,0,yes,5.57e-011,1.450000,0.000000,0.00
option_call,199.58,207.50,0.002700,0.045,0.83,0.702500,0,yes,4.81e-008,0.830000,0.000000,0.00
option_call,199.58,212.50,0.002700,0.045,0.26,0.786959,0,yes,2.32e-007,0.260000,0.000000,0.00
option_call,199.58,215.00,0.002700,0.045,0.15,0.834061,0,yes,1.37e-008,0.150000,0.000000,0.00
option_call,199.58,217.50,0.002700,0.045,0.09,0.883261,0,yes,6.68e-010,0.090000,0.000000,0.00
option_call,199.58,220.00,0.002700,0.045,0.06,0.940308,0,yes,6.16e-008,0.060000,0.000000,0.00
option_call,199.58,222.50,0.002700,0.045,0.04,0.993576,0,yes,1.76e-007,0.040000,0.000000,0.00
option_call,199.58,225.00,0.002700,0.045,0.04,1.084596,0,yes,4.21e-009,0.040000,0.000000,0.00
option_put,199.58,177.50,0.002700,0.045,0.09,1.177126,0,yes,1.65e-007,0.090000,0.000000,0.00
option_put,199.58,180.00,0.002700,0.045,0.12,1.090008,0,yes,8.26e-008,0.120000,0.000000,0.00
option_put,199.58,182.50,0.002700,0.045,0.16,0.999888,0,yes,5.13e-007,0.160001,0.000001,0.00
option_put,199.58,185.00,0.002700,0.045,0.22,0.910472,0,yes,3.53e-008,0.220000,0.000000,0.00
option_put,199.58,187.50,0.002700,0.045,0.33,0.829718,0,yes,1.46e-008,0.330000,0.000000,0.00
option_put,199.58,190.00,0.002700,0.045,0.51,0.749902,0,yes,1.38e-007,0.510000,0.000000,0.00
option_put,199.58,192.50,0.002700,0.045,0.79,0.667066,0,yes,1.17e-007,0.790000,0.000000,0.00
option_put,199.58,195.00,0.002700,0.045,1.23,0.583557,0,yes,3.28e-010,1.230000,0.000000,0.00
option_put,199.58,197.50,0.002700,0.045,1.89,0.503401,0,yes,1.22e-010,1.890000,0.000000,0.00
option_put,199.58,200.00,0.002700,0.045,2.81,0.446026,0,yes,1.53e-008,2.810000,0.000000,0.00
option_put,199.58,202.50,0.002700,0.045,4.03,0.427496,0,yes,1.79e-007,4.030000,0.000000,0.00
option_put,199.58,205.00,0.002700,0.045,5.60,0.377338,0,yes,1.18e-008,5.600000,0.000000,0.00
